Comment,Designator,Footprint,LCSC Part #
"100n","C1, C2, C3, C4, C5, C6, C7, C8, C9, C12, C13, C16","C0603","C14663"
"47p","C10, C11, C14, C15","C0603","C1671"
"10u","C17, C18","C0805","C15850"
"CircuitBreaker_1P","CB1","RS601HL-1010011BB","C2885782"
"LED","D1","LED_0805_2012Metric","C2297"
"PESD1CAN","D2, D6","SOT-23","C343993"
"LED-RED-0603","D3, D4","LED-0603","C2286"
"Barrel_Jack_Switch","J2","BarrelJack_GCT_DCJ200-10-A_Horizontal","C111567"
"6437288-3","J19","TE_6437288-3","C591769"
"Conn_02x10_Odd_Even","J20, J25, J29","PinHeader_2x10_P2.54mm_Vertical","C92266"
"Conn_02x16_Odd_Even","J27","PinHeader_2x16_P2.54mm_Vertical","C132130"
"AO3400A","Q1, Q2, Q3, Q4, Q5, Q6, Q7, Q8","SOT-23","C20917"
"1.2k","R1, R2, R3, R12","R1206","C26035"
"4.7k","R4, R6, R8, R10, R14, R15, R16, R17, R18, R19, R20, R21, R57, R60","R0603","C23162"
"1.5k","R5, R7, R9, R11","R0603","C22843"
"13k","R13","R0603","C22797"
"1k","R22, R40","R0603","C21190"
"2k","R23, R41","R0603","C4190"
"820","R24, R26, R30, R32, R36, R39, R49","R0603","C23253"
"100","R25, R29, R44, R46, R47, R59","R0603","C22775"
"120","R27","R0603","C22787"
"470","R28, R34, R43, R51, R52, R54, R55","R0603","C23179"
"220","R31, R35, R42","R0603","C22962"
"330","R33, R45, R50, R53","R0603","C23138"
"510","R37, R38, R58","R0603","C23193"
"910","R48","R0603","C23264"
"0","RN1, RN2, RN3, RN4, RN5, RN6, RN7, RN8, RN9, RN10, RN11, RN12","R_Array_Convex_4x0603","C327053"
"10k","RN13, RN14","R_Array_Convex_4x0603","C29718"
"OPA2192IDR","U1, U11","SO-8_3.9x4.9mm_P1.27mm","C110074"
"CD4067BM96","U2, U3, U4, U5, U6, U7","SOIC-24W_7.5x15.4mm_P1.27mm","C6525"
"TC4427","U8, U9","SO8","C20551"
"ULN2003A","U10","SOIC-16_3.9x9.9mm_P1.27mm","C7512"
"TJA1051T-3","U12, U13","SO8","C38695"
"LM78M05_TO252","U14","DPAK","C58069"
"nSMD005","F2, F3, F4, F5, F6, F7, F8, F9","F1206","C70064"
"nSMD100-16","F1","F1206","C70082"
