Comment,Designator,Footprint,LCSC Part #
"100n","C1","C0603","C14663"
"100n","C2","C0603","C14663"
"100n","C3","C0603","C14663"
"100n","C4","C0603","C14663"
"100n","C5","C0603","C14663"
"100n","C6","C0603","C14663"
"100n","C7","C0603","C14663"
"100n","C8","C0603","C14663"
"100n","C9","C0603","C14663"
"47p","C10","C0603","C1671"
"47p","C11","C0603","C1671"
"100n","C12","C0603","C14663"
"LED","D1","LED_0805_2012Metric","C2297"
"PESD1CAN","D2","SOT-23","C343993"
"1.8A","F1","Fuse_1206_3216Metric","C369161"
"nSMD005","F2","Fuse_1206_3216Metric","C369153"
"nSMD005","F3","Fuse_1206_3216Metric","C369153"
"nSMD005","F4","Fuse_1206_3216Metric","C369153"
"nSMD005","F5","Fuse_1206_3216Metric","C369153"
"nSMD005","F6","Fuse_1206_3216Metric","C369153"
"nSMD005","F7","Fuse_1206_3216Metric","C369153"
"nSMD005","F8","Fuse_1206_3216Metric","C369153"
"nSMD005","F9","Fuse_1206_3216Metric","C369153"
"MountingHole","H1","MountingHole_3.2mm_M3",""
"MountingHole","H2","MountingHole_3.2mm_M3",""
"MountingHole","H3","MountingHole_3.2mm_M3",""
"MountingHole","H4","MountingHole_3.2mm_M3",""
"MountingHole","H5","MountingHole_3.2mm_M3",""
"6437288-2","J1","6437288-2",""
"Conn_02x07_Odd_Even","J2","PinHeader_2x07_P2.54mm_Vertical",""
"Conn_01x08","J3","TerminalBlock_Phoenix_MKDS-1,5-8-5.08_1x08_P5.08mm_Horizontal",""
"Conn_01x01","J4","SolderWire-0.75sqmm_1x01_D1.25mm_OD2.3mm",""
"Conn_01x02","J5","TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",""
"Conn_01x04","J6","TerminalBlock_Phoenix_MKDS-1,5-4-5.08_1x04_P5.08mm_Horizontal",""
"Conn_01x04","J7","TerminalBlock_Phoenix_MKDS-1,5-4-5.08_1x04_P5.08mm_Horizontal",""
"Conn_01x04","J8","TerminalBlock_Phoenix_MKDS-1,5-4-5.08_1x04_P5.08mm_Horizontal",""
"Conn_01x04","J9","TerminalBlock_Phoenix_MKDS-1,5-4-5.08_1x04_P5.08mm_Horizontal",""
"Conn_01x01","J10","MountingHole_3.2mm_M3_Pad_Via",""
"Conn_01x01","J11","MountingHole_3.2mm_M3_Pad_Via",""
"Conn_01x01","J12","MountingHole_3.2mm_M3_Pad_Via",""
"Conn_01x01","J13","MountingHole_3.2mm_M3_Pad_Via",""
"Conn_01x01","J14","MountingHole_3.2mm_M3_Pad_Via",""
"Conn_01x01","J15","MountingHole_3.2mm_M3_Pad_Via",""
"Conn_01x01","J16","MountingHole_3.2mm_M3_Pad_Via",""
"Conn_01x01","J17","MountingHole_3.2mm_M3_Pad_Via",""
"Conn_02x05_Odd_Even","J18","PinHeader_2x05_P2.54mm_Vertical","C92270"
"6437288-3","J19","TE_6437288-3",""
"Conn_02x24_Odd_Even","J20","PinHeader_2x24_P2.54mm_Vertical",""
"Conn_02x08_Odd_Even","J21","PinHeader_2x08_P2.54mm_Vertical",""
"Conn_02x15_Odd_Even","J22","PinHeader_2x15_P2.54mm_Vertical",""
"Conn_02x10_Odd_Even","J23","PinHeader_2x10_P2.54mm_Vertical",""
"Conn_02x17_Odd_Even","J24","PinHeader_2x17_P2.54mm_Vertical",""
"Conn_02x10_Odd_Even","J25","PinHeader_2x10_P2.54mm_Vertical","C92266"
"Conn_02x06_Odd_Even","J26","PinHeader_2x06_P2.54mm_Vertical",""
"Conn_02x16_Odd_Even","J27","PinHeader_2x16_P2.54mm_Vertical","C132130"
"Conn_02x04_Odd_Even","J28","PinHeader_2x04_P2.54mm_Vertical",""
"AO3400A","Q1","SOT-23"," C20917"
"AO3400A","Q2","SOT-23"," C20917"
"AO3400A","Q3","SOT-23"," C20917"
"AO3400A","Q4","SOT-23"," C20917"
"AO3400A","Q5","SOT-23"," C20917"
"AO3400A","Q6","SOT-23"," C20917"
"AO3400A","Q7","SOT-23"," C20917"
"AO3400A","Q8","SOT-23"," C20917"
"1.2k","R1","R1206","C26035"
"1.2k","R2","R1206","C26035"
"1.2k","R3","R1206","C26035"
"4.7k","R4","R0603","C23162"
"1.5k","R5","R0603","C22843"
"4.7k","R6","R0603","C23162"
"1.5k","R7","R0603","C22843"
"4.7k","R8","R0603","C23162"
"1.5k","R9","R0603","C22843"
"4.7k","R10","R0603","C23162"
"1.5k","R11","R0603","C22843"
"1.2k","R12","R1206","C26035"
"4.7k","R13","R0603","C23162"
"4.7k","R14","R0603","C23162"
"4.7k","R15","R0603","C23162"
"4.7k","R16","R0603","C23162"
"4.7k","R17","R0603","C23162"
"4.7k","R18","R0603","C23162"
"4.7k","R19","R0603","C23162"
"4.7k","R20","R0603","C23162"
"4.7k","R21","R0603","C23162"
"1k","R22","R0603","C21190"
"2k","R23","R0603","C4190"
"820","R24","R0603","C23253"
"100","R25","R0603","C22775"
"820","R26","R0603","C23253"
"120","R27","R0603","C22787"
"470","R28","R0603","C23179"
"100","R29","R0603","C23138"
"820","R30","R0603","C23253"
"220","R31","R0603","C22962"
"820","R32","R0603","C23253"
"330","R33","R0603","C23138"
"470","R34","R0603","C23179"
"220","R35","R0603","C22962"
"820","R36","R0603","C23253"
"510","R37","R0603","C23193"
"510","R38","R0603","C23193"
"820","R39","R0603","C23253"
"1k","R40","R0603","C21190"
"2k","R41","R0603","C4190"
"220","R42","R0603","C22962"
"470","R43","R0603","C23179"
"100","R44","R0603","C23138"
"330","R45","R0603","C23138"
"100","R46","R0603","C23138"
"100","R47","R0603","C23138"
"910","R48","R0603","C23264"
"820","R49","R0603","C23253"
"330","R50","R0603","C23138"
"470","R51","R0603","C23179"
"470","R52","R0603","C23179"
"330","R53","R0603","C23138"
"470","R54","R0603","C23179"
"470","R55","R0603","C23179"
"DNP","R56","R0402",""
"510","R58","R0603","C23193"
"100","R59","R0603","C23138"
"0","RN1","R_Array_Convex_4x0603","C327053"
"0","RN2","R_Array_Convex_4x0603","C327053"
