Comment,Designator,Footprint,LCSC Part #
"100n","C1, C2, C3, C4, C5, C6, C7, C8, C9, C12, C13","C0603","C14663"
"47p","C10, C11","C0603","C1671"
"LED","D1","LED_0805_2012Metric","C2297"
"PESD1CAN","D2","SOT-23","C343993"
"LED-RED-0603","D3, D4","LED-0603","C2286"
"1.8A","F1","Fuse_1206_3216Metric","C369161"
"MountingHole","H1","MountingHole_3.2mm_M3",""
"MountingHole","H2","MountingHole_3.2mm_M3",""
"MountingHole","H3","MountingHole_3.2mm_M3",""
"MountingHole","H4","MountingHole_3.2mm_M3",""
"MountingHole","H5","MountingHole_3.2mm_M3",""
"6437288-2","J1","6437288-2",""
"Conn_02x07_Odd_Even","J2","PinHeader_2x07_P2.54mm_Vertical",""
"Conn_01x08","J3","TerminalBlock_Phoenix_MKDS-1,5-8-5.08_1x08_P5.08mm_Horizontal",""
"Conn_01x01","J4","SolderWire-0.75sqmm_1x01_D1.25mm_OD2.3mm",""
"Conn_01x02","J5","TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",""
"Conn_01x04","J6","TerminalBlock_Phoenix_MKDS-1,5-4-5.08_1x04_P5.08mm_Horizontal",""
"Conn_01x04","J7","TerminalBlock_Phoenix_MKDS-1,5-4-5.08_1x04_P5.08mm_Horizontal",""
"Conn_01x04","J8","TerminalBlock_Phoenix_MKDS-1,5-4-5.08_1x04_P5.08mm_Horizontal",""
"Conn_01x04","J9","TerminalBlock_Phoenix_MKDS-1,5-4-5.08_1x04_P5.08mm_Horizontal",""
"Conn_01x01","J10","MountingHole_3.2mm_M3_Pad_Via",""
"Conn_01x01","J11","MountingHole_3.2mm_M3_Pad_Via",""
"Conn_01x01","J12","MountingHole_3.2mm_M3_Pad_Via",""
"Conn_01x01","J13","MountingHole_3.2mm_M3_Pad_Via",""
"Conn_01x01","J14","MountingHole_3.2mm_M3_Pad_Via",""
"Conn_01x01","J15","MountingHole_3.2mm_M3_Pad_Via",""
"Conn_01x01","J16","MountingHole_3.2mm_M3_Pad_Via",""
"Conn_01x01","J17","MountingHole_3.2mm_M3_Pad_Via",""
"Conn_02x05_Odd_Even","J18","PinHeader_2x05_P2.54mm_Vertical","C92270"
"6437288-3","J19","TE_6437288-3",""
"Conn_02x24_Odd_Even","J20","PinHeader_2x24_P2.54mm_Vertical",""
"Conn_02x08_Odd_Even","J21","PinHeader_2x08_P2.54mm_Vertical",""
"Conn_02x15_Odd_Even","J22","PinHeader_2x15_P2.54mm_Vertical",""
"Conn_02x10_Odd_Even","J23","PinHeader_2x10_P2.54mm_Vertical",""
"Conn_02x17_Odd_Even","J24","PinHeader_2x17_P2.54mm_Vertical",""
"Conn_02x10_Odd_Even","J25","PinHeader_2x10_P2.54mm_Vertical","C92266"
"Conn_02x06_Odd_Even","J26","PinHeader_2x06_P2.54mm_Vertical",""
"Conn_02x16_Odd_Even","J27","PinHeader_2x16_P2.54mm_Vertical","C132130"
"Conn_02x04_Odd_Even","J28","PinHeader_2x04_P2.54mm_Vertical",""
"AO3400A","Q1, Q2, Q3, Q4, Q5, Q6, Q7, Q8","SOT-23","C20917"
"1.2k","R1, R2, R3, R12","R1206","C26035"
"4.7k","R4, R6, R8, R10, R14, R15, R16, R17, R18, R19, R20, R21, R57, R60","R0603","C23162"
"1.5k","R5, R7, R9, R11","R0603","C22843"
"13k","R13","R0603","C22797"
"1k","R22, R40","R0603","C21190"
"2k","R23, R41","R0603","C4190"
"820","R24, R26, R30, R32, R36, R39, R49","R0603","C23253"
"100","R25, R29, R44, R46, R47, R59","R0603","C22775"
"120","R27","R0603","C22787"
"470","R28, R34, R43, R51, R52, R54, R55","R0603","C23179"
"220","R31, R35, R42","R0603","C22962"
"330","R33, R45, R50, R53","R0603","C23138"
"510","R37, R38, R58","R0603","C23193"
"910","R48","R0603","C23264"
"DNP","R56","R0402",""
"0","RN1, RN2, RN3, RN4, RN5, RN6, RN7, RN8, RN9, RN10, RN11, RN12","R_Array_Convex_4x0603","C327053"
"10k","RN13, RN14","R_Array_Convex_4x0603","C29718"
"OPA2192IDR","U1, U11","SO-8_3.9x4.9mm_P1.27mm","C110074"
"CD4067BM96","U2, U3, U4, U5, U6, U7","SOIC-24W_7.5x15.4mm_P1.27mm","C6525"
"TC4427","U8, U9","SO8","C20551"
"ULN2003A","U10","SOIC-16_3.9x9.9mm_P1.27mm","C7512"
"TJA1051T-3","U12","SO8","C38695"
"nSMD005","F2, F3, F4, F5, F6, F7, F8, F9","F1206","C70064"
